GPA,Internships,Projects,Technical_Skills,Communication_Skills,Leadership_Skills,Extracurriculars,Networking_Score,Research_Papers,Online_Courses,Certifications,Hackathons_Participated,Volunteering_Experience,Career_Outcome
2.749080237694725,3,7,0.9567998154842862,0.4872653541000508,0.6777232412013204,1,0.6658577662162772,2,3,1,4,2,Product Manager
3.9014286128198323,2,2,0.5004011457102012,0.4299852141210597,0.252314736135153,4,0.37867420997278356,4,9,1,0,2,Product Manager
3.46398788362281,4,8,0.43272913601970464,0.5969106905466561,0.8730431470152034,2,0.9544227803210739,2,2,3,0,2,Data Scientist
3.197316968394073,0,6,0.457699605159294,0.9995577032504386,0.168858463370395,0,0.8741689214820684,4,9,0,2,2,Data Scientist
2.312037280884873,4,8,0.20888272400516372,0.7694488940820471,0.05363479152083084,2,0.7079409157399947,0,4,2,0,2,Researcher
2.3119890406724055,0,1,0.3687071708647952,0.3978657030174272,0.7174649906119122,3,0.7136520744937427,0,9,1,1,2,Consultant
2.116167224336399,1,1,0.3698132559871766,0.827553052274047,0.4754757152327337,3,0.25240171494215125,3,9,4,3,2,Researcher
3.73235229154987,0,7,0.0523550201874724,0.17070836331248018,0.8490980199586761,4,0.656815231088449,4,5,3,0,1,Product Manager
3.2022300234864174,3,8,0.7675676285179183,0.030463686308960125,0.38339714105825895,4,0.19820626523551965,4,1,3,1,0,Researcher
3.416145155592091,2,3,0.416504431903879,0.20444837246427305,0.16827858850771282,1,0.14400322391982212,1,6,1,4,0,Product Manager
2.041168988591605,1,5,0.8221798868164233,0.34041155611425966,0.8364421924698697,1,0.9994678942025802,1,2,1,3,2,Software Engineer
3.9398197043239884,0,1,0.8503480011198954,0.5105807574595599,0.5489096316400717,3,0.6223759314731742,3,0,1,4,0,Product Manager
3.6648852816008435,4,7,0.21199405469865806,0.6151291405411998,0.1891957923903549,0,0.4309878726571905,0,9,2,1,2,Product Manager
2.4246782213565523,1,5,0.6573534821701286,0.9106057172144217,0.7203839985864458,2,0.28816452288395134,1,2,1,4,1,Researcher
2.3636499344142012,1,8,0.4722818041629817,0.5098540095504577,0.5111136384895005,1,0.6039204436622274,2,8,0,4,0,Consultant
2.3668090197068676,0,8,0.8801567379214851,0.5012756446257294,0.6043129822403198,1,0.049593508220086124,0,9,4,4,0,Software Engineer
2.6084844859190754,1,9,0.21574067917645412,0.05024300982298213,0.4608983382065819,0,0.09468099050479506,2,5,1,0,1,Entrepreneur
3.049512863264476,4,7,0.6778132003100442,0.03491155265622381,0.8287089838180064,0,0.032856697740396346,4,5,2,0,1,Entrepreneur
2.8638900372842313,1,1,0.6077521222527226,0.5511599619163721,0.8295627156830498,4,0.49916983326266173,0,3,4,0,1,Consultant
2.582458280396084,4,3,0.2953014775718328,0.4381786132483445,0.7093888218243862,2,0.6006066291871826,3,7,3,3,0,Entrepreneur
3.223705789444759,0,8,0.1366009036511726,0.8391803949802986,0.10540137739646227,0,0.06247976135782085,4,4,1,1,0,Software Engineer
2.278987721304084,2,3,0.6516397604772766,0.16067958471184518,0.8388538619040689,1,0.7212244674989166,4,6,4,0,1,Data Scientist
2.5842892970704363,1,8,0.7385974581323307,0.024971662117049598,0.6710129805329098,1,0.2303950715145644,2,8,3,4,1,Software Engineer
2.7327236865873834,2,1,0.31562734376335,0.44903876793012587,0.6970241660042995,3,0.6852014537698661,4,4,2,4,1,Researcher
2.912139968434072,4,5,0.6448326040223138,0.23747855675225749,0.36298284040387163,0,0.9818971400352456,1,4,0,4,1,Product Manager
3.570351922786027,1,4,0.39513090761150327,0.04961437333883745,0.8792795561570067,4,0.6911058700538512,0,3,1,4,1,Product Manager
2.3993475643167193,3,5,0.7132068832826177,0.724598286847629,0.7253716002348575,2,0.8831930529236085,1,5,0,2,2,Researcher
3.0284688768272234,2,8,0.1992152748940531,0.11159299995724747,0.11259046652919447,4,0.9481985067430674,2,1,2,3,1,Researcher
3.184829137724085,1,4,0.8902150026361744,0.6083195000077717,0.40777803440616267,1,0.48675104835231553,2,2,4,1,2,Product Manager
2.0929008254399957,2,4,0.28740959646557973,0.28104975016688916,0.8863803619601417,4,0.7023249794197068,0,0,4,1,0,Consultant
3.2150897038028767,1,3,0.3677859877561529,0.17349605035502202,0.047196701697378995,1,0.8519692535558417,4,1,2,0,0,Data Scientist
2.341048247374583,0,7,0.058091952080349785,0.37975152291931746,0.9614166196420495,1,0.3566089128743861,3,1,2,2,2,Data Scientist
2.130103185970559,2,3,0.1115122123212764,0.8014457762229537,0.6791625683195628,1,0.2613973165603949,2,7,1,1,1,Data Scientist
3.8977710745066663,3,3,0.5158619027123281,0.3920935769045727,0.6313759776433766,1,0.9465985727783387,0,7,3,3,0,Researcher
3.9312640661491187,3,5,0.2675926767279715,0.7507696492110557,0.2705592564879914,1,0.726303500368818,3,1,0,4,1,Product Manager
3.6167946962329225,4,5,0.8354802257421944,0.1254862967991507,0.24879178873917707,3,0.21968213337582632,4,5,0,0,1,Consultant
2.609227538346741,1,6,0.014693388654953843,0.7727714196650791,0.9420582194885955,4,0.4490833926761134,2,4,4,3,2,Product Manager
2.1953442280127677,2,8,0.3790940486719362,0.23693332490664865,0.29827245423412274,3,0.7964517695378094,0,2,4,1,0,Product Manager
3.3684660530243136,4,6,0.3373455467690927,0.6773931298888728,0.7755052967189994,3,0.5470629909184421,0,4,1,2,0,Consultant
2.8803049874792026,2,1,0.019327630917601035,0.5657815548409963,0.39312179820707915,0,0.6499520981658891,0,4,2,0,2,Software Engineer
2.2440764696895577,1,8,0.12436839900051022,0.9291447172116873,0.13925407078470398,0,0.7537682020450523,2,4,0,1,1,Consultant
2.9903538202225404,3,8,0.41364267491863527,0.38732251797531403,0.01071529769535895,0,0.6220091888089806,3,2,1,0,1,Software Engineer
2.068777042230437,0,9,0.49286458444744663,0.06616518883444045,0.5442573370152508,2,0.5400793219221958,0,2,4,1,0,Entrepreneur
